Palkhi_Name,Saint,Origin_Place,Origin_District,Year,Date_2025,Stop_Type,Location_Name,Location_District,Notes,Confirmed_Status,Source_URL
Sant Eknath Maharaj Palkhi,Sant Eknath Maharaj,Paithan,Chhatrapati Sambhajinagar,2025,Not confirmed,Departure,Nath Mandir Paithan,Chhatrapati Sambhajinagar,Standard departure point every year; exact 2025 date not found in sources searched,Partial,https://santeknath.org/english/palkhi-sohala.html
Sant Eknath Maharaj Palkhi,Sant Eknath Maharaj,Paithan,Chhatrapati Sambhajinagar,2025,Not confirmed,Route pattern (general),"Paithan -> Shevgaon -> Beed district villages -> Dharashiv district -> Solapur district -> Pandharpur",Multiple,"Typical route covers ~285 km with about 17 night halts and 5 ringan (circle) ceremonies; this is the general pattern seen in 2026 coverage, used here as a route reference only - NOT the confirmed 2025 date-wise list",Unconfirmed (pattern only),https://maharashtradesha.com/sant-eknath-maharaj-palkhi-sohala-paithan-to-pandharpur-route-2026/
Sant Eknath Maharaj Palkhi,Sant Eknath Maharaj,Paithan,Chhatrapati Sambhajinagar,2025,On/before 6 Jul,Arrival,Pandharpur,Solapur,Arrives in time for Ashadhi Ekadashi (6 July 2025),Partial,https://en.wikipedia.org/wiki/Pandharpur_Wari
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,10 Jun 2025 (Tue),Departure,Trimbakeshwar (Kushavarta),Nashik,"Traditional welcome/abhishek at Kushavarta before departure",Confirmed,https://marathi.latestly.com/maharashtra/aashadhi-ekadashi-2025-pandharpur-wari-sant-nivruttinath-palkhi-2025-departs-for-pandharpur-591497.html
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,10 Jun 2025,Night Halt 1,Mahanirvani Akhada,Nashik,"~2 km from Trimbakeshwar; traditional first-night halt",Confirmed,https://www.saamana.com/sant-nivruttinath-maharaj-palkhi-procession-glimpses/
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,Day 2 (Wed approx),Halt,Namdev Vitthal Mandir Kajipura,Nashik,Daytime stop,Confirmed,https://marathi.latestly.com/maharashtra/aashadhi-ekadashi-2025-pandharpur-wari-sant-nivruttinath-palkhi-2025-departs-for-pandharpur-591497.html
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,Day 2 (Wed approx),Night Halt,Ganeshwadi Ayurved Hospital,Nashik,Night halt location,Confirmed,https://marathi.latestly.com/maharashtra/aashadhi-ekadashi-2025-pandharpur-wari-sant-nivruttinath-palkhi-2025-departs-for-pandharpur-591497.html
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,Friday (approx 13 Jun),Halt,Muktidham Nashik Road,Nashik,En route stop,Confirmed,https://marathi.latestly.com/maharashtra/aashadhi-ekadashi-2025-pandharpur-wari-sant-nivruttinath-palkhi-2025-departs-for-pandharpur-591497.html
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,Saturday (approx 14 Jun),Route continuation,Toward Pandharpur (Sinnar/Ahilyanagar belt),Multiple,"General onward direction only; day-wise halts after this point not found in sources searched",Unconfirmed,https://marathi.latestly.com/maharashtra/aashadhi-ekadashi-2025-pandharpur-wari-sant-nivruttinath-palkhi-2025-departs-for-pandharpur-591497.html
Sant Nivruttinath Maharaj Palkhi,Sant Nivruttinath Maharaj,Trimbakeshwar,Nashik,2025,On/before 6 Jul,Arrival,Pandharpur,Solapur,Arrives in time for Ashadhi Ekadashi (6 July 2025),Partial,https://en.wikipedia.org/wiki/Pandharpur_Wari
